easting,northing,k (mm/hr),sample,description
714342,2332523,23.5,540,KR60C site
714050,2332181,19.8,537,KR-7A;infiltration; sample
716323,2333289,19.2,593,infiltration test on soil above goat-top; sample
716267,2333223,10.56,592,"infiltration test, ash at goat-top; sample"
715788,2334257,8.64,545,KR-3A; infiltration; sample
713946,2331991,8.1,536,KR-6A;infiltration; sample
715421,2333895,6.666666667,548,"infiltration, kaw1 soil; sample"
715414,2333912,4.32,260,kawela1 substrate
715357,2333902,2.482758621,543,KAW2 infiltration; sample
714991,2333320,8,706,KR8-B minidisc
714924,2333265,3,707,KR9-B minidisc
714900,2333262,7,708,KR10 minidisc
714349,2332466,9,709,KA61-A minidisc
715298,2333868,3,710,KR5-B minidisc
716225,2334447,5,711,KR1-A minidisc
716217,2334437,14,712,KR2-B minidisc
715691,2334246,10,713,KR4-A minidisc
715429,2333920,3,714,Kawela 1 minidisc near of8
715362,2333906,1,715,Kawela 2 minidisc near of421
714689,2333359,4,728,Kawela minidisc on volcanics
712502,2335500,15,743,Ksat burned (wp 794 partner); sample for Kim
714203,2334482,9,744,"Ksat Goatpen; cracked brown volcanic soil, possible old A; sample for kim"
714000,2334386,1,745,"Ksat Goatpen; cracked brown volcanic soil, possible old A; sample for kim"
713969,2334104,4,746,"Ksat Goatpen; cracked brown volcanic soil, possible old A; sample for kim"
714134,2334297,6,748,"Ksat Goatpen; cracked brown volcanic soil, possible old A; sample for kim"
711191,2332663,33,774,Ksat unburned (wp 775 partner); sample for Kim
711167,2332677,14,775,Ksat burned (wp 774 partner); sample for Kim
711450,2332956,22,776,Ksat unburned (wp 777 partner); sample for Kim
711438,2332956,5,777,Ksat burned (wp 776 partner); sample for Kim
711557,2333083,22,781,Ksat burned (wp 782 partner); sample for Kim
711560,2333090,30,782,Ksat unburned (wp 781 partner); sample for Kim
712051,2333700,62,784,Ksat unburned (wp 785 partner); sample for Kim
712019,2333766,14,785,Ksat burned (wp 784 partner); sample for Kim
712483,2334083,64,786,Ksat unburned (wp 787 partner); sample for Kim
712463,2334096,31,787,Ksat burned (wp 786 partner); sample for kim
712966,2334647,33,788,"Ksat unburned (wp 789, 790 partner); sample for Kim"
712928,2334675,8,789,"Ksat burned; on trail, 2 sites 1 dm apart (wp 788 partner); sample for Kim"
712932,2334654,5,790,Ksat burned (see wp 788 partner); sample for Kim
713325,2335180,9,792,Ksat burned (see wp793 partner); sample for Kim
713357,2335167,6,793,Ksat unburned (under deep grass;wp792 partner);sample for Kim
712530,2335508,28,794,Ksat unburned (wp743 is partner);sample for Kim
